ShotMarker Archived Data (generated Jan 18 2025)
Exported 51 strings from Jan 18 of 168 total in archive

Jan 18 2025,Ethan Blackwell open,18,600y,197-9X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,8:13:56 am,S10,sighter,9,-11,-84,-0.44,-3.3,-0.07,-0.52,-0.02,-0.15,589.4,1934,-2.2,-2.5,,
,8:15:19 am,S11,sighter,9,-88,-50,-3.48,-1.96,-0.55,-0.31,-0.16,-0.09,597.8,1961,-1.6,-2.8,,
,8:16:08 am,S12,sighter,10,-44,-13,-1.72,-0.51,-0.27,-0.08,-0.08,-0.02,590.9,1939,-1.9,-2.6,,
,8:16:46 am,S13,sighter,X,-35,-3,-1.39,-0.13,-0.22,-0.02,-0.06,-0.01,590.9,1939,-1.9,-2.5,,
,8:18:01 am,1,,9,-13,-88,-0.51,-3.45,-0.08,-0.55,-0.02,-0.16,586.2,1923,-2.2,-2.8,,
,8:18:46 am,2,,10,-78,-6,-3.07,-0.22,-0.49,-0.04,-0.14,-0.01,589.6,1934,-1.4,-2.8,,
,8:19:24 am,3,,X,-1,23,-0.04,0.89,-0.01,0.14,0,0.04,590.5,1937,-2.4,-2.2,,
,8:19:53 am,4,,10,12,-71,0.48,-2.78,0.08,-0.44,0.02,-0.13,589.1,1933,-2.7,-2.5,,
,8:20:28 am,5,,9,-1,-119,-0.03,-4.67,0,-0.74,0,-0.22,586.6,1925,-2.7,-2.7,,
,8:21:09 am,6,,9,-37,-96,-1.47,-3.78,-0.23,-0.6,-0.07,-0.18,593.3,1947,-2.5,-2.6,,
,8:21:47 am,7,,X,-26,-8,-1.04,-0.31,-0.17,-0.05,-0.05,-0.01,597.9,1962,-2.5,-2.3,,
,8:22:31 am,8,,8,-122,-102,-4.81,-4.02,-0.77,-0.64,-0.22,-0.19,591.6,1941,-1.5,-2.7,,
,8:23:21 am,9,,9,-14,-149,-0.54,-5.86,-0.09,-0.93,-0.02,-0.27,588.3,1930,-2,-2.8,,

,,,,avg:,-31,-68,-1.22,-2.69,-0.19,-0.43,-0.06,-0.12,590.3,1936.8,-2.2,-2.6,0.3,
,,,,SD:,40.7,54.9,1.6,2.16,0.26,0.34,0.07,0.1,3.41,11.2,0.46,0.2,0.1,

Jan 18 2025,Seymour Eaton Open,9,600y,200-11X

