ShotMarker Archived Data (generated Jan 07 2025)
Exported 53 strings from Jan 07 of 53 total in archive

Jan 07 2025,Alex Thompson open,16,600y,200-14X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,6:46:18 pm,2,,10,4,46,0.15,1.8,0.02,0.29,0.01,0.08,481.4,1579,0.6,-1.9,3.6,
,6:47:00 pm,3,,10,45,22,1.77,0.85,0.28,0.14,0.08,0.04,473.9,1555,0.5,-2,5.2,
,6:49:33 pm,4,,8,42,207,1.66,8.13,0.26,1.29,0.08,0.38,488.5,1603,0,-1.7,6.2,
,6:50:34 pm,5,,10,47,60,1.84,2.36,0.29,0.38,0.09,0.11,484.1,1588,0.5,-1.7,2.8,
,6:51:07 pm,6,,9,96,36,3.78,1.42,0.6,0.23,0.18,0.07,482.2,1582,0.1,-1.8,4.8,
,6:51:46 pm,7,,X,12,39,0.45,1.53,0.07,0.24,0.02,0.07,484.3,1589,0.4,-1.9,3.6,
,6:52:24 pm,8,,X,-24,2,-0.96,0.09,-0.15,0.01,-0.04,0,484,1588,0.7,-2.2,3.4,
,6:52:58 pm,9,,X,-11,36,-0.44,1.4,-0.07,0.22,-0.02,0.06,483.6,1587,0.6,-2.1,3,
,6:53:37 pm,10,,10,-7,50,-0.26,1.98,-0.04,0.31,-0.01,0.09,482.9,1584,0.6,-2,3.3,
,6:54:03 pm,11,,10,-27,32,-1.07,1.27,-0.17,0.2,-0.05,0.06,486.7,1597,1,-2.1,0.6,
,6:54:34 pm,12,,10,-31,-50,-1.23,-1.96,-0.2,-0.31,-0.06,-0.09,483.3,1586,0.9,-2.1,0.6,
,6:55:08 pm,13,,X,-21,25,-0.82,0.97,-0.13,0.15,-0.04,0.05,485.6,1593,0.6,-2.1,2.9,
,6:55:55 pm,14,,X,19,-22,0.76,-0.85,0.12,-0.14,0.04,-0.04,483.4,1586,0.6,-2,3.3,
,6:56:39 pm,15,,10,47,27,1.85,1.07,0.29,0.17,0.09,0.05,484.2,1589,0.7,-2,2.3,
,6:57:44 pm,16,,9,-5,80,-0.19,3.15,-0.03,0.5,-0.01,0.15,488,1601,0.8,-2,3.3,
,6:58:34 pm,17,,10,64,-9,2.52,-0.37,0.4,-0.06,0.12,-0.02,478.1,1569,0.2,-1.9,4.3,
,6:59:17 pm,18,,10,44,-42,1.74,-1.67,0.28,-0.27,0.08,-0.08,480.9,1578,0.4,-2.3,4,
,6:59:54 pm,19,,X,21,23,0.84,0.91,0.13,0.15,0.04,0.04,484.3,1589,0.7,-2.1,2.8,
,7:00:29 pm,20,,9,89,61,3.52,2.4,0.56,0.38,0.16,0.11,486.2,1595,0.1,-1.9,6.5,

,,,,avg:,21,37,0.83,1.45,0.13,0.23,0.04,0.07,483.4,1585.9,0.5,-2,3.5,
,,,,SD:,36.6,54.4,1.44,2.14,0.23,0.34,0.07,0.1,3.21,10.5,0.26,0.15,1.4,

Jan 07 2025,Hayden Shepherd open,7,600y,199-6X

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,6:42:41 pm,S1,sighter,10,-60,19,-2.37,0.74,-0.38,0.12,-0.11,0.03,639.9,2099,-1.5,-2.3,,
,6:43:26 pm,S2,sighter,8,-77,170,-3.05,6.68,-0.49,1.06,-0.14,0.31,667.8,2191,-2.2,-1.7,,
,6:44:21 pm,S3,sighter,9,-52,105,-2.05,4.13,-0.33,0.66,-0.09,0.19,656,2152,-1.7,-2,,
,6:45:11 pm,S4,sighter,9,-18,108,-0.71,4.26,-0.11,0.68,-0.03,0.2,672.5,2206,-2,-2.2,,
,6:46:25 pm,S5,sighter,9,-2,88,-0.08,3.48,-0.01,0.55,0,0.16,661.9,2172,-2.3,-1.9,,
,6:47:54 pm,S6,sighter,10,20,-41,0.79,-1.61,0.13,-0.26,0.04,-0.07,655.1,2149,-2.1,-2.2,,
,6:48:55 pm,1,,10,-36,56,-1.41,2.19,-0.22,0.35,-0.07,0.1,674.2,2212,-2.7,-2,,
